product_id,generic_product,vader_polarity,BiLSTM_polarity,BERT_polarity
B07NF3K74H,Router,0.03025,0.12731213867664337,0.002151200082153082
B086GPHS71,Headphones,0.07415,0.08165742456912994,0.0013995823683217168
B082VY2RMY,Printer,0.041549999999999976,0.01590053364634514,0.00606585294008255
B08R6GQKDR,Smartphone,0.97065,0.9214794635772705,0.9992018342018129
B000J1FABY,Speaker,0.9842,0.9490389823913574,0.9991915822029114
B08N38VPL7,Laptop,0.89295,0.3643949031829834,0.9979215264320374
B08G8SH4QJ,monitor,0.57765,0.3298802673816681,0.9843258261680604
B08K26TJNP,monitor,0.1678,0.054161906242370605,0.002088445238769055
B087QRW81Z,monitor,0.9929,0.957254946231842,0.9990450739860536
B07G9XZ83W,Television,0.9938,0.9602303504943848,0.9983314871788024
B08J2F6732,Router,0.9035,0.9236190319061279,0.999195635318756
B07YNK3R68,Laptop,0.981,0.7759336829185486,0.9975729584693908
B08JFTD74R,Headphones,0.82665,0.8048849105834961,0.9989435076713562
B086168Y25,Keyboard,0.9336,0.8448601365089417,0.9990000128746032
B085LRHL3P,Television,0.23665000000000003,0.10685806721448898,0.0017795313615351913
B078X1DQ2Y,Printer,0.55135,0.12656602263450623,0.0020561411511152983
B07YXH57B8,Television,0.5,0.49766242504119873,0.9989007711410522
B08FDPW8KR,Speaker,0.8544499999999999,0.686867356300354,0.9989916682243348
B088HJ2KKR,Smartphone,0.8886000000000001,0.9761109948158264,0.9992855191230774
B07HCH26MC,Data Storage,0.8808,0.9085962772369385,0.9990420937538148
B088D126GD,Keyboard,0.9914499999999999,0.9528383612632751,0.9990623593330384
B081V6W99V,Laptop,0.22554999999999997,0.04999515041708946,0.002702025230973959
B01C3H9FGM,Headphones,0.9996,0.9754276871681213,0.998961329460144
B088S3V3R4,Television,0.63085,0.15613692998886108,0.0015360336983576415
B0716X489L,Television,0.82785,0.7446820735931396,0.9983243346214294
B082VS96NC,Keyboard,0.65735,0.7806442975997925,0.999075412750244
B07XVCP7F5,Keyboard,0.97835,0.9591671228408813,0.9991580247879028
B07FN93WW7,Printer,0.9995499999999999,0.9590758681297302,0.38342827558517456
B088NKZT13,Smartphone,0.5,0.561234176158905,0.9988172054290771
B074P4ZS68,Printer,0.8544,0.1080343946814537,0.0018026842735707762
B08JRF9L15,Smartphone,0.16060000000000002,0.2254980355501175,0.0019242154667153952
B07HCH26MC,Data Storage,0.5,0.3660370707511902,0.0016311007784679534
B07DLWM1JQ,Printer,0.9531000000000001,0.5267113447189331,0.0015488960780203342
B07RKYQGG4,Router,0.5703,0.34531310200691223,0.0017304577631875873
B07XVCP7F5,Keyboard,0.9525,0.9648876786231995,0.9989815354347228
B08L4CLVG1,Keyboard,0.9858,0.9658279418945312,0.9992598891258241
B08QVSNWHB,Speaker,0.9835499999999999,0.9759269952774048,0.9992928504943848
B08HBBF6FR,Headphones,0.04604999999999998,0.06270504742860794,0.0022376752458512783
B08M9DXY4P,Speaker,0.9939,0.9616698026657104,0.9991310238838196
B08DKZM85T,Headphones,0.9959,0.9697445034980774,0.9991798996925354
B07YVYZ8T5,Headphones,0.9467,0.9302456378936768,0.9992439746856691
B088F9BZJM,Headphones,0.9220999999999999,0.9640217423439026,0.9991538524627686
B08529TZMC,Laptop,0.375,0.22439594566822052,0.00452005211263895
B08KXJJT6Y,Keyboard,0.3194,0.042195409536361694,0.0021381990518420935
B07J2Z5DBM,Headphones,0.97715,0.9440025687217712,0.999088168144226
B08X1D9WWJ,Laptop,0.83525,0.8938045501708984,0.995477259159088
B07DRG6ZVD,Keyboard,0.98915,0.8319993019104004,0.9975035786628724
B088HJ2KKR,Smartphone,0.5,0.20281599462032318,0.03524209931492805
B08JY5GC29,Headphones,0.99715,0.8993424773216248,0.9987378716468812
B07RF1XD36,Laptop,0.9892000000000001,0.9325643181800842,0.999044954776764
B07MY4TJCM,Data Storage,0.0363,0.026573093608021736,0.0051967413164675244
B08PPSCRGN,Router,0.9719,0.9708544611930847,0.9992517828941344
B07XVCP7F5,Keyboard,0.87895,0.5460650324821472,0.9973723888397216
B01HD6ZLQ6,Data Storage,0.9869,0.9572815895080566,0.9947110414505004
B07CVL2D2S,monitor,0.4006,0.054554324597120285,0.0019390740199014547
B00NLZUM36,Keyboard,0.97165,0.17537695169448853,0.003912373911589384
B01F24RHF4,Speaker,0.91995,0.16635842621326447,0.002907860092818737
B08H2H89K1,Laptop,0.9505,0.7848004698753357,0.9989725351333618
B08JRF9L15,Smartphone,0.8603000000000001,0.030845776200294495,0.0014267178485170007
B07PJZRJ8X,Speaker,0.9883,0.9712193608283997,0.9992567896842957
B088D126GD,Keyboard,0.07195000000000001,0.11893797665834427,0.005508451256901026
B08B9SGGRS,Smartphone,0.9794,0.9380084872245789,0.9953959584236144
B00R2AZLD2,Router,0.89645,0.09467050433158875,0.0013320810394361615
B0821VFDPZ,Television,0.91355,0.031247034668922424,0.0016367370262742045
B07F285L1C,Data Storage,0.3363,0.11144417524337769,0.001715504564344883
B08T5VRPLK,Laptop,0.95175,0.9135289192199707,0.9992696642875672
B07743412C,monitor,0.9955499999999999,0.664432168006897,0.9982125759124756
B01BQ8S45M,Keyboard,0.976,0.3037901520729065,0.9971969127655028
B08W9PFZZ8,Headphones,0.9788,0.971588671207428,0.9992207288742064
B01MSYQWNY,Speaker,0.99925,0.9573528170585632,0.9989680051803588
B00JKM0A36,Data Storage,0.05495,0.13508231937885284,0.0019926156383007765
B08PCCXXJ2,Printer,0.5640000000000001,0.133963480591774,0.001797970151528716
B074P4ZS68,Printer,0.61575,0.13521304726600647,0.998300850391388
B0758NHWS8,Data Storage,0.06709999999999999,0.030340800061821938,0.0029219223652035
B08DKZM85T,Headphones,0.9097999999999999,0.910862386226654,0.7542658448219299
B07RF1XD36,Laptop,0.99655,0.8413650989532471,0.9646831750869752
B07P85CDHG,Speaker,0.97075,0.7911413908004761,0.9963055849075316
B07DMMG7QY,Speaker,0.9935,0.9116145968437195,0.9958165287971495
B07MG85X1M,monitor,0.9505,0.8271446824073792,0.99795663356781
B07628HLTM,Router,0.007599999999999996,0.0430666022002697,0.00251843617297709
B088YN9LBK,monitor,0.9935,0.7270375490188599,0.9984053969383241
B088S3V3R4,Television,0.6909,0.4316454529762268,0.001421590568497777
B087RTV311,Laptop,0.9648,0.9436324238777161,0.9985703229904176
B07Y5Q69JS,Television,0.5,0.7153424620628357,0.997349500656128
B08DJB7VVY,monitor,0.9812000000000001,0.9122767448425293,0.9991955161094666
B01MSYQWNY,Speaker,0.9994000000000001,0.9382443428039551,0.9652374982833862
B087LY84RT,Smartphone,0.98185,0.33300888538360596,0.005740878637880087
B0713WPGLL,Data Storage,0.9922,0.9616515040397644,0.9937451481819152
B08MWRCZL8,Smartphone,0.85015,0.8380237221717834,0.998853087425232
B08DJB7VVY,monitor,0.89235,0.4154972732067108,0.0013836562866345048
B083JT5JRZ,Data Storage,0.34555,0.06191076710820198,0.002654600655660033
B07KCR9LPT,Data Storage,0.9814,0.954474151134491,0.9992607235908508
B08P9RJ1X7,monitor,0.9642999999999999,0.9650581479072571,0.999243140220642
B01F24RHF4,Speaker,0.99795,0.6542990207672119,0.99854975938797
B07743412C,monitor,0.99375,0.9655977487564087,0.998810887336731
B08KZSCRL4,Keyboard,0.9943,0.9291728734970093,0.9990273714065552
B07D3GB4N3,Keyboard,0.9979,0.9740435481071472,0.9991888403892516
B082VY2RMY,Printer,0.3928,0.14257292449474335,0.0017818809719756246
B00IRV005E,Data Storage,0.08479999999999999,0.014566203579306602,0.003272172063589096
