product_id,generic_product,product,price,num_of_ratings,avg_rating,image
B08Z368RMZ,Smartphone,"Unlocked Rugged Cell Phone, OUKITEL WP10 5G Smartphone,8000mAh 8+128GB Battery Andriod Mobile Phones,48MP Sony Camera IP68 Waterproof 6.67 Inch FHD+ Global Dual Sim NFC GPS Face Fingerprint ID(Black)",$569.99 ,-1,-1,https://images-na.ssl-images-amazon.com/images/I/41sFvg9GrEL._AC_.jpg
B08L9MY937,Smartphone,Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),$399.94 ,221,4.4,https://images-na.ssl-images-amazon.com/images/I/61B8AZrmgjL._AC_SY450_.jpg
B08JQ4L1LS,Smartphone,"OUKITEL WP5 Pro (2021) Rugged Smartphone, 8000mAh Battery 4GB +64GB Android 10 Unlocked Cell Phones IP68 Waterproof,Global Version Face ID Fingerprint ,black",$169.99 ,156,4.1,https://images-na.ssl-images-amazon.com/images/I/71MXEeb%2BzkL._AC_SY550_.jpg
B08MWRCZL8,Smartphone,"Nokia 3.4 Unlocked Android Smartphone with 3/64 GB Memory, 6.39-Inch HD+ Screen, Triple Camera, and 2-Day Battery, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile/Mint/Ultra Mobile)",$149.00 ,40,3.8,https://images-na.ssl-images-amazon.com/images/I/61hB7i2DHFL._AC_SX522_.jpg
B08H5SZKC9,Smartphone,T-Mobile REVVLRY+ Plus 64GB Moto XT1965-T T-Mobile Smartphone (Renewed),$111.99 ,38,4.3,https://images-na.ssl-images-amazon.com/images/I/4110C%2BAx6zL._AC_.jpg
B08NWDMR9N,Smartphone,Moto G Power | 2021 | 3-Day Battery | Unlocked | Made for US by Motorola | 3/32GB | 48MP Camera | Silver,$189.99 ,"7,993",4.6,https://images-na.ssl-images-amazon.com/images/I/61jKxwxAZFL._AC_SX522_.jpg
B08GL2HKLT,Smartphone,Moto G7 Plus | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2019 | Black,$119.99 ,627,4.5,https://images-na.ssl-images-amazon.com/images/I/81N4XZjeBvL._AC_SY355_.jpg
B08B9SGGRS,Smartphone,Motorola Edge | Unlocked | Made for US by Motorola | 6/256GB | 64MP Camera | 2020 | Solor Black,$490.21 ,983,4,https://images-na.ssl-images-amazon.com/images/I/61aWtezBYlL._AC_SY355_.jpg
B08PKJK6XP,Smartphone,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",$109.99 ,30,3.8,https://images-na.ssl-images-amazon.com/images/I/61oZ5agP-XL._AC_SX522_.jpg
B084CVPLLC,Smartphone,Moto G Stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,$199.99 ,"4,221",4.5,https://images-na.ssl-images-amazon.com/images/I/71Swc5WsxrL._AC_SY355_.jpg
B088NKZT13,Smartphone,(Free $20 Airtime Activation Promotion) TracFone Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,-1,"1,458",4.5,https://images-na.ssl-images-amazon.com/images/I/61ff%2BrZThyL._AC_SY550_.jpg
B08C6XBCRT,Smartphone,BLU G90 Pro | 2021 | 3-Day Battery | Unlocked | US Version | US Warranty| 4/128GB | 48MP Camera | Purple Haze,$199.99 ,"1,304",4.5,https://images-na.ssl-images-amazon.com/images/I/81cwIdlEXwL._AC_SY355_.jpg
B086H4C8CX,Smartphone,Moto G Fast | 2020 | Unlocked | Made for US by Motorola | 3/32GB | 16MP Camera | White,$194.00 ,"2,362",4.6,https://images-na.ssl-images-amazon.com/images/I/81O2fXSlHCL._AC_SY355_.jpg
B08DHFX4FV,Television,"TCL 50-inch Class 4-Series 4K UHD Smart Roku LED TV - 50S435, 2021 Model",-1,"5,212",4.7,https://images-na.ssl-images-amazon.com/images/I/714hn7q7WxL._AC_SX355_.jpg
B088S3V3R4,Television,"TCL 32-inch 3-Series 720p Roku Smart TV - 32S335, 2021 Model",$148.00 ,"48,968",4.6,https://images-na.ssl-images-amazon.com/images/I/61ficuy07aL._AC_SY355_.jpg
B085LRHL3P,Television,Hisense 40-Inch 40H5500F Class H55 Series Android Smart TV with Voice Remote (2020 Model),$231.73 ,"4,153",4.3,https://images-na.ssl-images-amazon.com/images/I/61lJa-K8CqL._AC_SY355_.jpg
B08BCBJP71,Television,"VIZIO 40-Inch V-Series 4K UHD LED HDR Smart TV with Apple AirPlay and Chromecast Built-in, Dolby Vision, HDR10+, HDMI 2.1, Auto Game Mode and Low Latency Gaming",$305.47 ,652,4.3,https://images-na.ssl-images-amazon.com/images/I/81NCnG8UvYL._AC_SY355_.jpg
B07YXH57B8,Television,SAMSUNG 40 inches LED Smart FHD TV 1080P (2019 Model),-1,168,4.6,https://images-na.ssl-images-amazon.com/images/I/71Ao8Im97TL._AC_SY355_.jpg
B07CL4GLQW,Television,"Samsung Electronics UN32N5300AFXZA 32"" 1080p Smart LED TV (2018), Black",-1,"2,655",4.6,https://images-na.ssl-images-amazon.com/images/I/91UsHjAPTlL._AC_SX355_.jpg
B086XL48ZF,Television,LG Electronics 24LM530S-PU 24-Inch HD webOS 3.5 Smart TV,$148.00 ,915,4.5,https://images-na.ssl-images-amazon.com/images/I/91zmQQ6C09L._AC_SY355_.jpg
B08FSKX4M7,Television,"VIZIO 40"" Class V-Series 4K HDR Smart TV - V405-H (Renewed)",$239.99 ,135,4.3,https://images-na.ssl-images-amazon.com/images/I/41tzYgaiJXL._AC_SY355_.jpg
B07JVQY8W1,Television,"VIZIO 24-Inch D-Series LED HDTV  with Apple AirPlay and Chromecast Built in Screen Mirroring for Second Screens, & 150+ Free Streaming Channels (D24h-G9)",-1,232,4.4,https://images-na.ssl-images-amazon.com/images/I/81hxjH73qNL._AC_SY355_.jpg
B07Y5Q69JS,Television,"Vizio D-Series 24inch HD (720P) Smart LED TV, Smartcast + Chromecast Included - D24H-G9 (Renewed)",$129.90 ,515,4.3,https://images-na.ssl-images-amazon.com/images/I/51dWnINQ0FL._AC_SY355_.jpg
B08TV674C8,Television,"VIZIO 50-Inch M-Series Quantum 4K UHD LED HDR Smart TV with Apple AirPlay and Chromecast built-in, Dolby Vision, HDR10+, HDMI 2.1, Variable Refresh Rate & AMD FreeSync Gaming",-1,42,4.6,https://images-na.ssl-images-amazon.com/images/I/81l7F85GBYL._AC_SY355_.jpg
B084BNBLQS,Television,"Hisense 32-Inch Class H4 Series LED Roku Smart TV with Alexa Compatibility (32H4F, 2020 Model)",-1,"6,188",4.6,https://images-na.ssl-images-amazon.com/images/I/71gzlKauNQL._AC_SY355_.jpg
B082QVSXQM,Television,"Vizio D32F-G D-Series 32"" Class 1080p LED LCD Smart Full-Array LED LCD TV (2019 Model) (Renewed)",$174.99 ,"1,264",4.2,https://images-na.ssl-images-amazon.com/images/I/71EDcJ5oK4L._AC_SX355_.jpg
B088C4J8W7,Television,"Sansui 24-Inch 720p HD LED Smart TV (S24P28DN) with Built-in HDMI, USB, High Resolution, Digital Noise Reduction, Dolby Audio Bundle with Circuit City 6-Feet 4K HDMI Cable and Accessories",-1,223,4.1,https://images-na.ssl-images-amazon.com/images/I/71wWysVoOJL._AC_SY355_.jpg
B0813ZFQYF,Television,Element 24 pulgadas Class FH (720P) LED TV (Eleft2416) (Renewed),$85.99 ,37,4.1,https://images-na.ssl-images-amazon.com/images/I/51GZS2-LkNL._AC_SY355_.jpg
B07NF9BZ1J,Television,"Axess TVD1805-15 LED HDTV Includes AC/DC TV DVD Player HDMI/SD/USB Inputs, Wall Mountable, Stereo Speaker (15.6 Inch)",$179.90 ,245,4.1,https://images-na.ssl-images-amazon.com/images/I/61pVfrMoJ5L._AC_SY355_.jpg
B07G9XZ83W,Television,TCL 32S325 32 Inch 720p Roku Smart LED TV (2019),-1,"12,613",4.7,https://images-na.ssl-images-amazon.com/images/I/61--xSgNcQL._AC_SY355_.jpg
B087Z519BB,Television,SAMSUNG 75-inch Class Crystal UHD TU-8000 Series - 4K UHD HDR Smart TV with Alexa Built-in + HW-T550 2.1ch Soundbar with Dolby Audio/DTS Virtual:X (2020),-1,40,4.6,https://images-na.ssl-images-amazon.com/images/I/615kyTYOl8L._AC_SY355_.jpg
B07RSQYPJ8,Television,"14Inch Portabel ATSC Digital Television 1080P HD HDMI Video Player Support USB Port,SD/MMC Card,U Disk,MKV, MOV, AVI, WMV, MP4, FLV, MPEG1-4, RMVB, 1080P Video MP3 for Outdoor, Home, Car,Bathroom etc",-1,5,4.7,https://images-na.ssl-images-amazon.com/images/I/615jLOJ7LCL._AC_SY355_.jpg
B07M8RM5HQ,Television,Vizio D40F-G9 40-inch 1080p Full Array LED SmartCast HDTV (Renewed),$229.99 ,561,4.2,https://images-na.ssl-images-amazon.com/images/I/61Ms8bztRFL._AC_SX355_.jpg
B07JK98NNQ,Television,TCL 50S425 50 Inch 4K Smart LED Roku TV (2019),-1,"41,548",4.6,https://images-na.ssl-images-amazon.com/images/I/71tN5cFBvFL._AC_SX355_.jpg
B08C9KMRVB,Television,"VIZIO 40 Inch 4K Smart TV, V-Series UHD HDR Television with Apple AirPlay and Chromecast Built-in (V405-H19)",-1,352,4.3,https://images-na.ssl-images-amazon.com/images/I/81NCnG8UvYL._AC_SY355_.jpg
B078HZWYDM,Television,"Sceptre X325BV-FSR 32"" Class FHD (1080P) LED TV",-1,27,4.2,https://images-na.ssl-images-amazon.com/images/I/31AE6NUNpQL._AC_.jpg
B01CJV6722,Television,"Sceptre UTV 50"" Class 4K LED TV 3840x2160 U508CV-UMC 4X HDMI Ports, Metal Black",-1,54,4.2,https://images-na.ssl-images-amazon.com/images/I/51usibpi5VL._AC_SX355_.jpg
B07WFYRCH9,Television,"Vizio D40F-G9 1080p 40"" Smart LED TV, Black (Renewed)",$229.99 ,3,5,https://images-na.ssl-images-amazon.com/images/I/81Z9TF3QdXL._AC_SY355_.jpg
B0821VFDPZ,Television,"Sceptre Android TV 32-inch Smart LED HD TV Google Assistant Chromecast Bluetooth Remote, Machine Black 2020 (A322BV-SRC)",-1,610,4.1,https://images-na.ssl-images-amazon.com/images/I/81tCV5NDoKL._AC_SX355_.jpg
B078HM2CBP,Television,"Sceptre 65"" Class 4K (2160P) LED TV (U650CV-U)",-1,148,4,https://images-na.ssl-images-amazon.com/images/I/61WBhbBbjCL._AC_SX355_.jpg
B07GGSD1KS,Television,"Sceptre 32"" Class HD (720P) LED TV (X322BV-SR)",-1,193,4.4,https://images-na.ssl-images-amazon.com/images/I/91elOhlcXcL._AC_SX355_.jpg
B085W8VLS7,Television,TCL 4K Smart LED TV… (55 INCH),-1,297,4.6,https://images-na.ssl-images-amazon.com/images/I/61pNQjrEj7L._AC_SX355_.jpg
B08511FZLG,Television,"Sceptre Android TV A515CV-UMC 50-inch 4K UHD Smart LED HD TV Google Assistant Chromecast Bluetooth Remote HDR 3840x2160, Machine Black 2020",-1,188,4.2,https://images-na.ssl-images-amazon.com/images/I/71zOFexajaL._AC_SX355_.jpg
B0716X489L,Television,"Sceptre 19"" Class HD (720P) LED TV (E195BV-SR)",-1,338,4.3,https://images-na.ssl-images-amazon.com/images/I/71DY8Gx3SdL._AC_SX355_.jpg
B089MF3G17,Television,"Skyworth S3G 32-Inch 720P HD Smart LED TV, Quad-CORE Android TV with Voice Control, Google Assistant Built-in, Also Work with Alexa",$187.53 ,919,4.2,https://images-na.ssl-images-amazon.com/images/I/71Yaq-llwhL._AC_SY355_.jpg
B00NJ2M33I,Headphones,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",-1,"49,701",4.5,https://images-na.ssl-images-amazon.com/images/I/71jQZy3ZzxL._AC_SY606_.jpg
B07SHH37M6,Headphones,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",-1,"20,806",4.5,https://images-na.ssl-images-amazon.com/images/I/71P3igzuWCL._AC_SY450_.jpg
B08XV1QKH1,Headphones,"Earbuds - Earphone - Wired Headphones, 3.5mm in-Ear Wired Earbuds with Built-in Microphone & Volume Control Compatible with iPhone 6s plus/6/5s/5c/iPad/S10 Android All 3.5 mm Audio Devices (2 Pack)",$11.99 ,"9,836",4.3,https://images-na.ssl-images-amazon.com/images/I/61D4mN5MUPL._AC_SY355_.jpg
B0787HVXKQ,Headphones,"Kids Headphones-Noot Products K11 Foldable Stereo Tangle-Free 5ft Long cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle,Fire/Boys/Girls/School/Travel/Plane/Tablet/Laptop(Mint/Coral)",$10.00 ,"22,402",4.7,https://images-na.ssl-images-amazon.com/images/I/61%2B3HMZJXbL._AC_SY355_.jpg
B07K5214NZ,Headphones,"Bluetooth Headphones Over-Ear, Zihnic Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Waring(Rose Gold)",$25.99 ,"36,479",4.4,https://images-na.ssl-images-amazon.com/images/I/51eAhFCg5mL._AC_SY355_.jpg
B07SP57RWH,Headphones,"Panasonic ErgoFit Earbud Headphones with Microphone and Call Controller Compatible with iPhone, Android and Blackberry - RP-TCM125-VA - In-Ear (Metallic Violet)",$14.99 ,"112,207",4.3,https://images-na.ssl-images-amazon.com/images/I/71-JC9ohIyL._AC_SX355_.jpg
B019U00D7K,Headphones,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99 ,"69,974",4.4,https://images-na.ssl-images-amazon.com/images/I/41WzHq0SkRL._AC_SY355_.jpg
B08DKZM85T,Headphones,"Wireless Earbuds, Mpow MBits S True Bluetooth Earbuds In Ear w/Mic CVC8.0 Noise Cancelling Earphones, Bluetooth 5.0 Headphones Sports, Deep Bass/IPX8 Waterproof/35H Playtime/Touch Control/3 Mode,Black",$25.49 ,"11,310",4.5,https://images-na.ssl-images-amazon.com/images/I/51u1FiJEGaL._AC_SY355_.jpg
B07PD9V78L,Headphones,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing Function for Children Boys Girls, Volume Limit Safe 85dB,94dB Headset for School, Travel",$18.99 ,"37,656",4.7,https://images-na.ssl-images-amazon.com/images/I/71tuneVA4hL._AC_SY550_.jpg
B07J2Z5DBM,Headphones,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,-1,"199,402",4.4,https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SY355_.jpg
B073WN3W6M,Headphones,JLab Audio Neon Folding On-Ear Headphones | Wired Headphones | Tangle Free Cord | Noise Isolation | 40mm Neodymium Drivers | C3 Sound (Crystal Clear Clarity) | Black,-1,"10,016",4.4,https://images-na.ssl-images-amazon.com/images/I/61ceAnQlxcL._AC_SX425_.jpg
B01M0GB8CC,Headphones,Apple EarPods with Lightning Connector - White,-1,"120,344",4.7,https://images-na.ssl-images-amazon.com/images/I/41wYbyr3LLL._AC_SX342_.jpg
B07NM3RSRQ,Headphones,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",$49.99 ,"24,768",4.5,https://images-na.ssl-images-amazon.com/images/I/61oXrwTm1uL._AC_SY355_.jpg
B08P5S3YDF,Headphones,VEATOOL Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Ear Buds with Earhooks Built-in Mic Headset for Workout,$38.99 ,"6,079",4.6,https://images-na.ssl-images-amazon.com/images/I/714BId9LRCL._AC_SY355_.jpg
B07YVYZ8T5,Headphones,"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Black (Latest Model)",-1,"27,393",4.7,https://images-na.ssl-images-amazon.com/images/I/51QxA-98Q%2BL._AC_SX342_.jpg
B088F9BZJM,Headphones,"Kids Headphones, Mpow CHE2 Wired Headphones for Kids Teens, Children Headphones with Volume Limit, Foldable Adjustable On Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, PC",$14.99 ,"2,997",4.6,https://images-na.ssl-images-amazon.com/images/I/61X-3VZw2UL._AC_SY355_.jpg
B07BC64276,Headphones,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless headphones,Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout,Running,Gym Blue Grey",$16.98 ,"65,886",4.4,https://images-na.ssl-images-amazon.com/images/I/61JdNQLOhCL._AC_SY355_.jpg
B07R2J14V3,Headphones,"LETSCOM Bluetooth Headphones V5.0 IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds W/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play time",$20.99 ,"69,844",4.4,https://images-na.ssl-images-amazon.com/images/I/61fBoBIuTsL._AC_SY355_.jpg
B08RJ8MCZ3,Headphones,"2 Pack Earbuds Headphones Earphones with 3.5mm Wired in-Ear Headphone Plug Built-in Microphone and Volume Control Compatible with iPhone, PC, MP3,MP4, Android",$12.99 ,94,4.3,https://images-na.ssl-images-amazon.com/images/I/515psFgwI6L._AC_SY355_.jpg
B077YG22Y9,Headphones,COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30H Playtime for Travel/Work/TV/Computer/Cellphone - Black,$69.99 ,"27,350",4.4,https://images-na.ssl-images-amazon.com/images/I/61bMV3oE-8L._AC_SY355_.jpg
B082TWSSTM,Headphones,"Mpow 059 Lite Bluetooth Headphones, 60 Hours Playtime Wireless Headphones Over Ear with Microphone, Bluetooth 5.0, HiFi Stereo Sound, Protein Earpads, Wired Wireless Headset for Kids, Adults, TV",$15.29 ,"8,346",4.5,https://images-na.ssl-images-amazon.com/images/I/71o3d806aiL._AC_SY355_.jpg
B08H1WNYTR,Headphones,Occiam Bluetooth Headphones True Wireless Earbuds 48H Play Back Earphones TWS Deep Bass in Ear Waterproof with Microphone LED Display for Sports Black,$38.99 ,"15,963",4.5,https://images-na.ssl-images-amazon.com/images/I/61cLu%2B0jalL._AC_SY355_.jpg
B00HVLUR18,Headphones,"Audio-Technica ATH-M20X Professional Studio Monitor Headphones, Black",$49.00 ,"6,387",4.6,https://images-na.ssl-images-amazon.com/images/I/71wQVZhuQ3L._AC_SX425_.jpg
B01HNMTCE2,Headphones,iJoy Matte Finish Premium Rechargeable Wireless Headphones Bluetooth Over Ear Headphones Foldable Headset with Mic (Stealth),$17.99 ,"37,786",4.4,https://images-na.ssl-images-amazon.com/images/I/815PM0CRkHL._AC_SY355_.jpg
B08W9PFZZ8,Headphones,"[2021 Upgraded] True Wireless Earbuds, TANGMAI W0 Bluetooth 5.0 Headphones with Microphones, 30H Playtime, Deep Bass, IPX7 Waterproof for Sports, Earphones with Clear Calls for Home/Office -Black",-1,34,4.2,https://images-na.ssl-images-amazon.com/images/I/51mTXPlGMhL._AC_SY355_.jpg
B08JY5GC29,Headphones,"Wireless Earbuds Sports, Mpow Flame Solo Bluetooth Earbuds, Bass+ Bluetooth Headphones in Ear Wireless Earphones with Mic Earphones, Fast Charging/USB-C/28H Playtime/IPX7 Waterproof for Running Sports",-1,"7,117",4.6,https://images-na.ssl-images-amazon.com/images/I/71If9Ps8wwL._AC_SY355_.jpg
B08W48NYC9,Headphones,"Bluetooth Headphones,LOVOCOO Neckband Bluetooth Headset with Retractable Earbuds, Foldable Wireless Bluetooth Headphones Built in Noise Cancelling Mic for Sports and Work (with Carry Case) (Black)",$29.98 ,97,4.3,https://images-na.ssl-images-amazon.com/images/I/618hvq9rHjL._AC_SY355_.jpg
B07RGZ5NKS,Headphones,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,-1,"107,262",4.5,https://images-na.ssl-images-amazon.com/images/I/71gtHnQGfQL._AC_SY355_.jpg
B08FCGH2RL,Headphones,Skullcandy Crusher Evo Wireless Over-Ear Headphone - True Black,$149.99 ,"1,263",4.8,https://images-na.ssl-images-amazon.com/images/I/71I0lybSq%2BL._AC_SY355_.jpg
B08JFTD74R,Headphones,"Wireless Bone Conduction Headphones Bluetooth 5.0 Open Ear Sports Headset with Mic Sweatproof for Running, Bicycling, Hiking (Black)",$34.99 ,781,4.3,https://images-na.ssl-images-amazon.com/images/I/61SeEIZdrXL._AC_SX425_.jpg
B08HBBF6FR,Headphones,Panasonic Full-Sized Lightweight Over-The-Ear Headphones with Mic and Long Cord - RP-HT161M (Black),$32.27 ,"18,409",4.3,https://images-na.ssl-images-amazon.com/images/I/71Yb3z2B2ML._AC_SY355_.jpg
B086GPHS71,Headphones,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Red Purple",$26.99 ,"24,936",4.4,https://images-na.ssl-images-amazon.com/images/I/71lAuWUdrHL._AC_SY355_.jpg
